JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
Tustin,10/15/2021 - 10/15/2029,TRUE,,1724,,11,1046,1.1%,2,1132,0.2%,412,2880,14.3%
Twentynine Palms,10/15/2021 - 10/15/2029,TRUE,,231,,,127,,28,185,15.1%,,504,
Ukiah,8/15/2019 - 8/15/2027,TRUE,50,86,58.1%,104,72,144.4%,24,49,49.0%,20,32,62.5%
Union City,1/31/2023 - 1/31/2031,TRUE,6,862,0.7%,5,496,1.0%,7,382,1.8%,3,988,0.3%
Upland,10/15/2021 - 10/15/2029,TRUE,,1584,,,959,,114,1013,11.3%,264,2130,12.4%
Vacaville,1/31/2023 - 1/31/2031,TRUE,,677,,,404,,,409,,464,1105,42.0%
Vallejo,1/31/2023 - 1/31/2031,TRUE,6,690,0.9%,12,369,3.3%,9,495,1.8%,94,1346,7.0%
Ventura,10/15/2021 - 10/15/2029,TRUE,9,1187,0.8%,24,865,2.8%,8,950,0.8%,649,2310,28.1%
Ventura County,10/15/2021 - 10/15/2029,TRUE,173,319,54.2%,424,225,188.4%,106,250,42.4%,109,468,23.3%
Vernon,10/15/2021 - 10/15/2029,TRUE,,5,,,4,,,0,,,0,
Victorville,10/15/2021 - 10/15/2029,TRUE,,1735,,,1136,,,1504,,472,3790,12.5%
Villa Park,10/15/2021 - 10/15/2029,TRUE,1,93,1.1%,1,60,1.7%,1,61,1.6%,4,82,4.9%
Visalia,12/31/2023 - 12/31/2031,TRUE,,3741,,,2306,,,1321,,,3423,
Vista,4/30/2021 - 4/30/2029,TRUE,57,515,11.1%,4,321,1.2%,,369,,395,1356,29.1%
Walnut,10/15/2021 - 10/15/2029,TRUE,,427,,2,225,0.9%,2,231,0.9%,72,410,17.6%
Walnut Creek,1/31/2023 - 1/31/2031,TRUE,2,1657,0.1%,10,954,1.0%,8,890,0.9%,3,2304,0.1%
Wasco,12/31/2023 - 12/31/2031,TRUE,,127,,,82,,,242,,,635,
Waterford,12/31/2023 - 12/31/2031,TRUE,,107,,,74,,,115,,,261,
Watsonville,12/15/2023 - 12/15/2031,TRUE,,283,,5,186,2.7%,,521,,,1063,
Weed,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,,0,
West Covina,10/15/2021 - 10/15/2029,TRUE,15,1653,0.9%,61,850,7.2%,85,865,9.8%,301,1978,15.2%
West Hollywood,10/15/2021 - 10/15/2029,TRUE,6,1066,0.6%,3,689,0.4%,5,682,0.7%,251,1496,16.8%
West Sacramento,5/15/2021 - 5/15/2029,TRUE,9,2287,0.4%,38,1378,2.8%,18,1722,1.0%,1010,4084,24.7%
Westlake Village,10/15/2021 - 10/15/2029,TRUE,,58,,6,29,20.7%,9,32,28.1%,90,23,391.3%
Westminster,10/15/2021 - 10/15/2029,TRUE,23,1881,1.2%,75,1473,5.1%,60,1784,3.4%,246,4621,5.3%
Westmorland,10/15/2021 - 10/15/2029,TRUE,,8,,,6,,9,4,225.0%,,15,
Wheatland,5/15/2021 - 5/15/2029,TRUE,40,105,38.1%,8,64,12.5%,,98,,72,232,31.0%
Whittier,10/15/2021 - 10/15/2029,TRUE,,1025,,27,537,5.0%,98,556,17.6%,159,1321,12.0%
Wildomar,10/15/2021 - 10/15/2029,TRUE,,798,,,450,,14,434,3.2%,616,1033,59.6%
Williams,12/31/2020 - 12/31/2028,TRUE,,71,,12,56,21.4%,,66,,26,137,19.0%
Willits,8/15/2019 - 8/15/2027,TRUE,,34,,2,25,8.0%,13,17,76.5%,5,35,14.3%
Willows,11/30/2021 - 11/30/2029,TRUE,,47,,,22,,,36,,1,80,1.3%
Windsor,1/31/2023 - 1/31/2031,TRUE,2,385,0.5%,174,222,78.4%,3,108,2.8%,27,279,9.7%
Winters,5/15/2021 - 5/15/2029,TRUE,1,125,0.8%,3,75,4.0%,21,104,20.2%,68,248,27.4%
Woodlake,12/31/2023 - 12/31/2031,TRUE,,75,,,47,,,103,,,267,
Woodland,5/15/2021 - 5/15/2029,TRUE,113,663,17.0%,44,399,11.0%,95,601,15.8%,234,1424,16.4%
Woodside,1/31/2023 - 1/31/2031,TRUE,7,90,7.8%,6,52,11.5%,6,52,11.5%,14,134,10.4%
Yolo County,5/15/2021 - 5/15/2029,TRUE,17,14,121.4%,13,9,144.4%,21,10,210.0%,24,24,100.0%
Yorba Linda,10/15/2021 - 10/15/2029,TRUE,38,765,5.0%,13,451,2.9%,9,457,2.0%,34,742,4.6%
Yountville,1/31/2023 - 1/31/2031,TRUE,,19,,,11,,,12,,1,30,3.3%
Yreka,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,,0,
Yuba City,5/15/2021 - 5/15/2029,TRUE,,756,,,455,,,622,,131,1475,8.9%
Yuba County,5/15/2021 - 5/15/2029,TRUE,1,621,0.2%,90,374,24.1%,5,561,0.9%,1335,1331,100.3%
Yucaipa,10/15/2021 - 10/15/2029,TRUE,,708,,138,493,28.0%,86,511,16.8%,364,1154,31.5%
Yucca Valley,10/15/2021 - 10/15/2029,TRUE,,155,,,117,,,145,,10,333,3.0%
