JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
Placer County,5/15/2021 - 5/15/2029,TRUE,,2127,,112,1282,8.7%,178,1319,13.5%,1882,3126,60.2%
Placerville,5/15/2021 - 5/15/2029,TRUE,,56,,,34,,15,50,30.0%,12,119,10.1%
Pleasant Hill,1/31/2023 - 1/31/2031,TRUE,,566,,2,326,0.6%,30,254,11.8%,29,657,4.4%
Pleasanton,1/31/2023 - 1/31/2031,TRUE,3,1750,0.2%,3,1008,0.3%,3,894,0.3%,9,2313,0.4%
Plumas County,8/31/2019 - 6/30/2024,TRUE,15,5,300.0%,29,3,966.7%,98,2,4900.0%,149,6,2483.3%
Plymouth,9/15/2021 - 9/15/2029,TRUE,,7,,,5,,,5,,22,13,169.2%
Point Arena,8/15/2019 - 8/15/2027,TRUE,,3,,,1,,,3,,,2,
Pomona,10/15/2021 - 10/15/2029,TRUE,,2799,,,1339,,,1510,,47,4910,1.0%
Port Hueneme,10/15/2021 - 10/15/2029,TRUE,,26,,18,16,112.5%,,18,,4,65,6.2%
Porterville,12/31/2023 - 12/31/2031,TRUE,,872,,,537,,,739,,,1916,
Portola,8/31/2019 - 6/30/2024,TRUE,,1,,,1,,,0,,2,2,100.0%
Portola Valley,1/31/2023 - 1/31/2031,TRUE,,73,,,42,,,39,,,99,
Poway,4/30/2021 - 4/30/2029,TRUE,,468,,,268,,41,241,17.0%,190,342,55.6%
Rancho Cordova,5/15/2021 - 5/15/2029,TRUE,18,2115,0.9%,95,1274,7.5%,396,1684,23.5%,1233,3994,30.9%
Rancho Cucamonga,10/15/2021 - 10/15/2029,TRUE,6,3245,0.2%,26,1920,1.4%,26,2038,1.3%,1327,3322,39.9%
Rancho Mirage,10/15/2021 - 10/15/2029,TRUE,,430,,,318,,,328,,353,670,52.7%
Rancho Palos Verdes,10/15/2021 - 10/15/2029,TRUE,,253,,29,139,20.9%,,125,,15,122,12.3%
Rancho Santa Margarita,10/15/2021 - 10/15/2029,TRUE,,209,,,120,,,125,,,226,
Red Bluff,8/31/2019 - 6/30/2024,TRUE,1,82,1.2%,5,63,7.9%,6,63,9.5%,1,160,0.6%
Redding,4/15/2020 - 4/15/2028,TRUE,129,502,25.7%,122,336,36.3%,150,360,41.7%,142,893,15.9%
Redlands,10/15/2021 - 10/15/2029,TRUE,107,967,11.1%,159,615,25.9%,13,652,2.0%,228,1282,17.8%
Redondo Beach,10/15/2021 - 10/15/2029,TRUE,14,936,1.5%,39,508,7.7%,5,490,1.0%,360,556,64.7%
Redwood City,1/31/2023 - 1/31/2031,TRUE,20,1115,1.8%,20,643,3.1%,20,789,2.5%,414,2041,20.3%
Reedley,12/31/2023 - 12/31/2031,TRUE,,403,,,183,,,211,,,666,
Rialto,10/15/2021 - 10/15/2029,TRUE,37,2218,1.7%,17,1206,1.4%,,1371,,346,3477,10.0%
Richmond,1/31/2023 - 1/31/2031,TRUE,,840,,,485,,2,638,0.3%,132,1651,8.0%
Ridgecrest,12/31/2023 - 12/31/2031,TRUE,,379,,,241,,,225,,,591,
Rio Dell,8/31/2019 - 8/31/2027,TRUE,2,12,16.7%,5,8,62.5%,2,9,22.2%,4,22,18.2%
Rio Vista,1/31/2023 - 1/31/2031,TRUE,,79,,,41,,,50,,40,157,25.5%
Ripon,12/31/2023 - 12/31/2031,TRUE,,311,,,254,,,263,,,596,
Riverbank,12/31/2023 - 12/31/2031,TRUE,,970,,,672,,,594,,,1355,
Riverside,10/15/2021 - 10/15/2029,TRUE,,4861,,32,3064,1.0%,35,3139,1.1%,1378,7394,18.6%
Riverside County,10/15/2021 - 10/15/2029,TRUE,,10371,,318,6627,4.8%,140,7347,1.9%,2324,16302,14.3%
Rocklin,5/15/2021 - 5/15/2029,TRUE,95,1911,5.0%,198,1151,17.2%,39,771,5.1%,656,1828,35.9%
Rohnert Park,1/31/2023 - 1/31/2031,TRUE,2,399,0.5%,2,230,0.9%,,265,,71,686,10.3%
Rolling Hills,10/15/2021 - 10/15/2029,TRUE,,20,,,9,,2,11,18.2%,3,5,60.0%
Rolling Hills Estates,10/15/2021 - 10/15/2029,TRUE,,82,,10,42,23.8%,2,38,5.3%,3,29,10.3%
Rosemead,10/15/2021 - 10/15/2029,TRUE,,1154,,11,638,1.7%,,686,,421,2134,19.7%
Roseville,5/15/2021 - 5/15/2029,TRUE,182,3855,4.7%,401,2323,17.3%,1651,1746,94.6%,2634,4142,63.6%
Ross,1/31/2023 - 1/31/2031,TRUE,2,34,5.9%,2,20,10.0%,,16,,,41,
Sacramento,5/15/2021 - 5/15/2029,TRUE,1041,10463,9.9%,1585,6306,25.1%,2812,8545,32.9%,2078,20266,10.3%
Sacramento County,5/15/2021 - 5/15/2029,TRUE,75,4466,1.7%,379,2692,14.1%,444,4186,10.6%,1291,9928,13.0%
Saint Helena,1/31/2023 - 1/31/2031,TRUE,,104,,,59,,,26,,8,67,11.9%
Salinas,12/15/2023 - 12/15/2031,TRUE,,920,,,600,,,1692,,1,3462,0.0%
San Anselmo,1/31/2023 - 1/31/2031,TRUE,,253,,19,145,13.1%,1,121,0.8%,2,314,0.6%
San Benito County,12/15/2023 - 12/15/2031,TRUE,,246,,,198,,,103,,1,207,0.5%
San Bernardino,10/15/2021 - 10/15/2029,TRUE,32,1415,2.3%,390,1097,35.6%,34,1448,2.3%,269,4163,6.5%
San Bernardino County,10/15/2021 - 10/15/2029,TRUE,39,2179,1.8%,255,1360,18.8%,542,1523,35.6%,1200,3770,31.8%
San Bruno,1/31/2023 - 1/31/2031,TRUE,37,704,5.3%,112,405,27.7%,9,573,1.6%,5,1483,0.3%
San Carlos,1/31/2023 - 1/31/2031,TRUE,,739,,,425,,,438,,31,1133,2.7%
San Clemente,10/15/2021 - 10/15/2029,TRUE,1,282,0.4%,14,164,8.5%,40,188,21.3%,168,348,48.3%
